"","Rodents","superres","Flag","Zdiv","MSW05_Order","MSW05_Genus","MSW05_Species","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","References","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","WOS_HITS","Production","postnatGR","RelAgeSexMat","RelAgeBirth","logNeoBM","Abrocomidae","Anomaluridae","Aplodontiidae","Bathyergidae","Calomyscidae","Capromyidae","Castoridae","Caviidae","Chinchillidae","Cricetidae","Ctenodactylidae","Ctenomyidae","Cuniculidae","Dasyproctidae","Dinomyidae","Dipodidae","Echimyidae","Erethizontidae","Geomyidae","Gliridae","Heptaxodontidae","Heteromyidae","Hystricidae","Muridae","Myocastoridae","Nesomyidae","Octodontidae","Pedetidae","Petromuridae","Platacanthomyidae","Sciuridae","Spalacidae","Thryonomyidae","MammRich","SpeciesDensity"
"1","Abditomys_latidens",0,0,0,"Rodentia","Abditomys","latidens",NA,5.59132274503116,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2152",NA,NA,NA,NA,5.87655861860662,16.94,16.74,16.84,120.97,120.78,120.88,93,4.54329478227,93,0.09,316,180,1443,1557,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,76,-0.671343388361062
"2","Abeomelomys_sevia",0,0,0,"Rodentia","Abeomelomys","sevia",NA,4.00514898341763,127.29,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,"456;865;977;1297;2152;2655;2803",NA,NA,NA,NA,10.8829733410034,-4.98,-6.84,-5.91,147.72,141.6,144.66,3,2.94233149682688,4,0.13,348.51,164.32,1645.22,1679.49,1.09861228866811,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,135,-2.59608150020295
"3","Abrawayaomys_ruschii",0,0,0,"Rodentia","Abrawayaomys","ruschii",NA,4.14297598363384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,11.7451277022156,-15.09,-19.84,-17.47,-40.52,-43.56,-42.04,5,3.10054263790634,7,0.06,107.06,209.1,1084.47,1402.39,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,-3.01805878000482
"4","Abrocoma_bennettii",0,0,0,"Rodentia","Abrocoma","bennettii",1,5.52345892052492,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4.86,NA,27.6,NA,4.96877108999756,NA,NA,NA,NA,2,NA,NA,NA,NA,"543;890;1297;1492;2655",NA,NA,NA,NA,10.908081792905,-27.71,-35.58,-31.64,-69.4,-71.7,-70.55,0,4.16122409106165,1,0.07,20.44,17.66,213.09,1073.78,0.693147180559945,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-3.06522187287225
"5","Abrocoma_boliviensis",0,0,0,"Rodentia","Abrocoma","boliviensis",NA,5.06259503302697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2655",NA,NA,NA,NA,8.6611151645045,-17.44,-18.05,-17.75,-63.49,-64.51,-64,5,3.40916555131133,5,0.04,82.63,175.55,1171.61,1487.33,0.693147180559945,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,-1.71615154428622
"6","Abrocoma_budini",0,0,0,"Rodentia","Abrocoma","budini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,NA
"7","Abrocoma_cinerea",0,0,0,"Rodentia","Abrocoma","cinerea",NA,5.26600076507149,NA,NA,NA,NA,NA,NA,NA,4.69583322088533,3,NA,NA,NA,2.19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"890;1297;1627;2655",NA,NA,NA,NA,12.8515804270365,-14.43,-24.35,-19.39,-64.27,-70.6,-67.43,0,2.68920711330073,0,0.06,48.46,35.22,515.1,1257.35,2.39789527279837,NA,NA,NA,NA,1.12254352406875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,-3.1993534206229
"8","Abrocoma_famatina",0,0,0,"Rodentia","Abrocoma","famatina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,NA
"9","Abrocoma_shistacea",0,0,0,"Rodentia","Abrocoma","shistacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,NA
"10","Abrocoma_uspallata",0,0,0,"Rodentia","Abrocoma","uspallata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09861228866811,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,NA
