Species_Name,# papers PCR pos,# papers PCR neg (whether seropos or seroneg),# papers isolated,tiplabel,gen,fam,Notes regarding IUCN status,ord,clade,higher,MSW3_sciName_matched,genes,extinct.,samp,PC,,Rodents,superres,Flag,Zdiv,MSW05_Order,MSW05_Genus,MSW05_Species,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n.km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,References,X5.5_AdultBodyMass_g_EXT,X16.2_LittersPerYear_EXT,X5.6_NeonateBodyMass_g_EXT,X5.7_WeaningBodyMass_g_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,WOS_HITS,Production,postnatGR,RelAgeSexMat,RelAgeBirth,logNeoBM,Abrocomidae,Anomaluridae,Aplodontiidae,Bathyergidae,Calomyscidae,Capromyidae,Castoridae,Caviidae,Chinchillidae,Cricetidae,Ctenodactylidae,Ctenomyidae,Cuniculidae,Dasyproctidae,Dinomyidae,Dipodidae,Echimyidae,Erethizontidae,Geomyidae,Gliridae,Heptaxodontidae,Heteromyidae,Hystricidae,Muridae,Myocastoridae,Nesomyidae,Octodontidae,Pedetidae,Petromuridae,Platacanthomyidae,Sciuridae,Spalacidae,Thryonomyidae,MammRich,SpeciesDensity
Abrawayaomys_chebezi,,,,Abrawayaomys_chebezi_CRICETIDAE_RODENTIA,Abrawayaomys,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,NA,0,0,imputed,PC12_Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrawayaomys_ruschii,,,,Abrawayaomys_ruschii_CRICETIDAE_RODENTIA,Abrawayaomys,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Abrawayaomys_ruschii,0,0,imputed,PC12_Cricetidae,3,Abrawayaomys_ruschii,0,0,0,Rodentia,Abrawayaomys,ruschii,NA,4.142975984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655,NA,NA,NA,NA,11.7451277,-15.09,-19.84,-17.47,-40.52,-43.56,-42.04,5,3.100542638,7,0.06,107.06,209.1,1084.47,1402.39,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,-3.01805878
Abrothrix_andinus,,,,Abrothrix_andinus_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_andinus,6,0,sampled,PC12_Cricetidae,12,Abrothrix_andinus,0,0,0,Rodentia,Abrothrix,andinus,3,3.215269329,NA,NA,NA,64.8,34.6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,890;1822;2655,NA,NA,NA,NA,13.49054443,-12.18,-34.65,-23.42,-65.15,-74.53,-69.84,0,2.820783471,0,0.05,51.98,14.3,482.37,1242.1,3.33220451,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,-3.422706358
Abrothrix_hershkovitzi,,,,Abrothrix_hershkovitzi_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,synonym for A. olivaceus,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_hershkovitzi,1,0,sampled,PC12_Cricetidae,13,Abrothrix_hershkovitzi,0,0,0,Rodentia,Abrothrix,hershkovitzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.481961253,-53.65,-55.9,-54.77,-67.25,-70.89,-69.07,0,1.467874348,0,0.02,35.19,36.26,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-2.550404482
Abrothrix_illuteus,,,,Abrothrix_illuteus_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_illuteus,2,0,sampled,PC12_Cricetidae,14,Abrothrix_illuteus,0,0,0,Rodentia,Abrothrix,illuteus,NA,3.866816413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2655,NA,NA,NA,NA,10.47332379,-23.57,-27.53,-25.55,-64.95,-66.51,-65.73,0,2.934920134,1,0.08,57.04,41.89,629.18,1280.01,1.098612289,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,-2.465721359
Abrothrix_jelskii,,,,Abrothrix_jelskii_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_jelskii,6,0,sampled,PC12_Cricetidae,15,Abrothrix_jelskii,0,0,0,Rodentia,Abrothrix,jelskii,2,3.540959324,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,890;2655,NA,NA,NA,NA,13.1350717,-12.23,-23.92,-18.08,-64.22,-73.6,-68.91,0,2.732417558,1,0.06,76.81,68.22,704.46,1304.63,0.693147181,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,-3.20206204
Abrothrix_lanosus,,,,Abrothrix_lanosus_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_lanosus,2,0,sampled,PC12_Cricetidae,16,Abrothrix_lanosus,0,0,0,Rodentia,Abrothrix,lanosus,NA,3.326114576,NA,NA,NA,45.6,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1473;1822;2655,NA,NA,NA,NA,10.66934299,-50.67,-54.84,-52.76,-67.08,-74.96,-71.02,0,0.891998039,0,0.24,60.63,45.34,380.38,431.52,0.693147181,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,-3.065435064
Abrothrix_longipilis,1,5,,Abrothrix_longipilis_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,used to be Akodon longipils,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_longipilis,5,0,sampled,PC12_Cricetidae,17,Abrothrix_longipilis,0,0,0,Rodentia,Abrothrix,longipilis,2,3.659965444,NA,NA,112.3,57.61,42.3,7,NA,NA,3,NA,NA,17,3.7,NA,NA,NA,7.929198505,NA,3.946037884,NA,NA,2,2,NA,NA,NA,730;890;1114;1130;1297;1420;1449;1473;1492;1822;2006;2008;2242;2655,NA,5.19,NA,NA,12.95707287,-30.29,-54.17,-42.23,-68.63,-73.75,-71.19,0,3.520164901,0,0.1,64.15,64.48,454.6,677.15,3.737669618,NA,NA,NA,NA,0.517195898,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,-3.672942739
Abrothrix_manni,,,,Abrothrix_manni_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,,RODENTIA,Mouse-related,Euarchontoglires,NA,0,0,imputed,PC12_Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrothrix_markhami,,,,Abrothrix_markhami_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,synonym for A. olivaceus,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_markhami,1,0,sampled,PC12_Cricetidae,18,Abrothrix_markhami,0,0,0,Rodentia,Abrothrix,markhami,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.713445595,-48.67,-50.06,-49.37,-74.38,-75.47,-74.92,0,0.524728529,0,0,281.3,46.78,359.8,563.33,0.693147181,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-2.9391033
