"","feature","coverage"
"28","cites",1
"27","ed_equal",1
"29","gen_Abrothrix",1
"30","gen_Akodon",1
"31","gen_Brucepattersonius",1
"32","gen_Calomys",1
"33","gen_Cerradomys",1
"34","gen_Delomys",1
"35","gen_Dicrostonyx",1
"36","gen_Eligmodontia",1
"37","gen_Euneomys",1
"38","gen_Euryoryzomys",1
"39","gen_Graomys",1
"40","gen_Habromys",1
"41","gen_Handleyomys",1
"42","gen_Holochilus",1
"43","gen_Hylaeamys",1
"44","gen_Ichthyomys",1
"45","gen_Microtus",1
"46","gen_Neacomys",1
"47","gen_Necromys",1
"48","gen_Nectomys",1
"49","gen_Neotoma",1
"50","gen_Nephelomys",1
"51","gen_Nesoryzomys",1
"52","gen_Neusticomys",1
"53","gen_Oecomys",1
"54","gen_Oligoryzomys",1
"55","gen_Oryzomys",1
"56","gen_Oxymycterus",1
"57","gen_Peromyscus",1
"58","gen_Phyllotis",1
"59","gen_Reithrodontomys",1
"60","gen_Rheomys",1
"61","gen_Rhipidomys",1
"62","gen_Sigmodon",1
"63","gen_Thomasomys",1
"64","gen_Tylomys",1
"25","MammRich",0.9
"26","SpeciesDensity",0.71
"3","X1.1_ActivityCycle",0.32
"6","X12.1_HabitatBreadth",0.33
"8","X12.2_Terrestriality",0.32
"7","X15.1_LitterSize",0.32
"10","X26.1_GR_Area_km2",0.77
"11","X26.2_GR_MaxLat_dd",0.77
"12","X26.3_GR_MinLat_dd",0.77
"13","X26.4_GR_MidRangeLat_dd",0.77
"14","X26.5_GR_MaxLong_dd",0.77
"15","X26.6_GR_MinLong_dd",0.77
"16","X26.7_GR_MidRangeLong_dd",0.77
"17","X27.1_HuPopDen_Min_n.km2",0.77
"18","X27.2_HuPopDen_Mean_n.km2",0.77
"19","X27.3_HuPopDen_5p_n.km2",0.77
"20","X27.4_HuPopDen_Change",0.76
"21","X28.1_Precip_Mean_mm",0.75
"22","X28.2_Temp_Mean_01degC",0.75
"23","X30.1_AET_Mean_mm",0.73
"24","X30.2_PET_Mean_mm",0.73
"4","X5.1_AdultBodyMass_g",0.75
"5","X6.1_DietBreadth",0.26
"9","X6.2_TrophicLevel",0.26
