"","feature","pcr_imp","comp_imp","pcr_rank","comp_rank"
"1","cites",0.27997,0.3099,1,1
"2","ed_equal",0.02549,0.0438,10,6
"3","gen_Abrothrix",0,0,40,34
"4","gen_Akodon",1e-05,0,38,35
"5","gen_Brucepattersonius",0,0,41,36
"6","gen_Calomys",0.00149,0.00374,31,25
"7","gen_Cerradomys",0,0,42,37
"8","gen_Delomys",0,0,43,38
"9","gen_Dicrostonyx",0,0,44,39
"10","gen_Eligmodontia",0,0,45,40
"11","gen_Euneomys",0,0,46,41
"12","gen_Euryoryzomys",0,0,47,42
"13","gen_Graomys",0,0,48,43
"14","gen_Habromys",0,0,49,44
"15","gen_Handleyomys",0,0,50,45
"16","gen_Holochilus",0,0,51,46
"17","gen_Hylaeamys",0,0,52,47
"18","gen_Ichthyomys",0,0,53,48
"19","gen_Microtus",2e-05,0.00013,37,31
"20","gen_Neacomys",0,0,54,49
"21","gen_Necromys",9e-05,0,33,50
"22","gen_Nectomys",1e-05,0,39,51
"23","gen_Neotoma",4e-05,0,35,52
"24","gen_Nephelomys",0,0,55,53
"25","gen_Nesoryzomys",0,0,56,54
"26","gen_Neusticomys",0,0,57,55
"27","gen_Oecomys",7e-05,3e-05,34,32
"28","gen_Oligoryzomys",0.0249,0.03937,11,7
"29","gen_Oryzomys",3e-05,0.0199,36,13
"30","gen_Oxymycterus",0.00439,0,27,56
"31","gen_Peromyscus",0.04678,3e-05,5,33
"32","gen_Phyllotis",0,0,58,57
"33","gen_Reithrodontomys",0.00039,0,32,58
"34","gen_Rheomys",0,0,59,59
"35","gen_Rhipidomys",0,0,60,60
"36","gen_Sigmodon",0.00331,0.00464,30,23
"37","gen_Thomasomys",0,0,61,61
"38","gen_Tylomys",0,0,62,62
"39","MammRich",0.11199,0.10593,2,3
"40","SpeciesDensity",0.08231,0.03866,3,8
"41","X1.1_ActivityCycle",0.01443,0.00155,17,30
"42","X12.1_HabitatBreadth",0.00435,0.00282,28,27
"43","X12.2_Terrestriality",0.01213,0.00954,20,19
"44","X15.1_LitterSize",0.03878,0.11109,7,2
"45","X26.1_GR_Area_km2",0.0358,0.06041,8,4
"46","X26.2_GR_MaxLat_dd",0.00873,0.00956,24,18
"47","X26.3_GR_MinLat_dd",0.03277,0.02424,9,10
"48","X26.4_GR_MidRangeLat_dd",0.00989,0.00257,23,28
"49","X26.5_GR_MaxLong_dd",0.01807,0.03007,14,9
"50","X26.6_GR_MinLong_dd",0.01749,0.01392,15,15
"51","X26.7_GR_MidRangeLong_dd",0.0109,0.00673,22,21
"52","X27.1_HuPopDen_Min_n.km2",0.00419,0.00312,29,26
"53","X27.2_HuPopDen_Mean_n.km2",0.06337,0.01678,4,14
"54","X27.3_HuPopDen_5p_n.km2",0.00666,0.00218,26,29
"55","X27.4_HuPopDen_Change",0.01379,0.01206,18,16
"56","X28.1_Precip_Mean_mm",0.01879,0.05497,13,5
"57","X28.2_Temp_Mean_01degC",0.01128,0.02016,21,12
"58","X30.1_AET_Mean_mm",0.01292,0.00885,19,20
"59","X30.2_PET_Mean_mm",0.01477,0.00606,16,22
"60","X5.1_AdultBodyMass_g",0.04054,0.02244,6,11
"61","X6.1_DietBreadth",0.02173,0.01042,12,17
"62","X6.2_TrophicLevel",0.00729,0.00434,25,24
