"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2","type"
"1",1,0.998964803312629,0.937142857142857,1,0,1812,15000,"2","5e-04",4,1,"15000 2 5e-04 4","1","virus isolation"
"2",2,0.998112189859763,0.915254237288136,1,0,3162,15000,"2","5e-04",4,2,"15000 2 5e-04 4","1","virus isolation"
"3",3,0.999460625674218,0.907721280602636,1,0,3301,15000,"2","5e-04",4,3,"15000 2 5e-04 4","1","virus isolation"
"4",4,0.999309868875086,0.954285714285714,1,0,1368,15000,"2","5e-04",4,4,"15000 2 5e-04 4","1","virus isolation"
"5",5,0.996224379719525,0.91713747645951,1,0.333333333333333,2780,15000,"2","5e-04",4,5,"15000 2 5e-04 4","1","virus isolation"
"6",6,0.997033441208198,0.939736346516008,1,0,2308,15000,"2","5e-04",4,6,"15000 2 5e-04 4","1","virus isolation"
"7",7,0.999730312837109,0.926553672316384,1,0,5059,15000,"2","5e-04",4,7,"15000 2 5e-04 4","1","virus isolation"
"8",8,0.999394673123487,0.884943181818182,0.994318181818182,0,4235,15000,"2","5e-04",4,8,"15000 2 5e-04 4","1","virus isolation"
"9",9,0.999519230769231,0.895127993393889,1,0,2180,15000,"2","5e-04",4,9,"15000 2 5e-04 4","1","virus isolation"
"10",10,0.998921251348436,0.902071563088512,0.994350282485876,0,3441,15000,"2","5e-04",4,10,"15000 2 5e-04 4","1","virus isolation"
"11",11,1,0.918857142857143,1,0,1782,15000,"3","5e-04",4,1,"15000 3 5e-04 4","2","virus isolation"
"12",12,0.998921251348436,0.922787193973635,1,0,2590,15000,"3","5e-04",4,2,"15000 3 5e-04 4","2","virus isolation"
"13",13,1,0.913370998116761,1,0,3187,15000,"3","5e-04",4,3,"15000 3 5e-04 4","2","virus isolation"
"14",14,1,0.953142857142857,1,0,1368,15000,"3","5e-04",4,4,"15000 3 5e-04 4","2","virus isolation"
"15",15,0.99730312837109,0.91713747645951,1,0.333333333333333,2711,15000,"3","5e-04",4,5,"15000 3 5e-04 4","2","virus isolation"
"16",16,0.998381877022654,0.943502824858757,1,0,1885,15000,"3","5e-04",4,6,"15000 3 5e-04 4","2","virus isolation"
"17",17,1,0.919020715630885,1,0,4003,15000,"3","5e-04",4,7,"15000 3 5e-04 4","2","virus isolation"
"18",18,1,0.880681818181818,0.994318181818182,0,4086,15000,"3","5e-04",4,8,"15000 3 5e-04 4","2","virus isolation"
"19",19,1,0.893476465730801,1,0,2180,15000,"3","5e-04",4,9,"15000 3 5e-04 4","2","virus isolation"
"20",20,0.999460625674218,0.871939736346516,0.994350282485876,0,3125,15000,"3","5e-04",4,10,"15000 3 5e-04 4","2","virus isolation"
"21",21,1,0.915428571428571,1,0,1782,15000,"4","5e-04",4,1,"15000 4 5e-04 4","3","virus isolation"
"22",22,0.998921251348436,0.922787193973635,1,0,2590,15000,"4","5e-04",4,2,"15000 4 5e-04 4","3","virus isolation"
"23",23,1,0.907721280602636,1,0,3086,15000,"4","5e-04",4,3,"15000 4 5e-04 4","3","virus isolation"
"24",24,1,0.948571428571429,1,0,1368,15000,"4","5e-04",4,4,"15000 4 5e-04 4","3","virus isolation"
"25",25,0.997842502696872,0.913370998116761,1,0.333333333333333,2676,15000,"4","5e-04",4,5,"15000 4 5e-04 4","3","virus isolation"
"26",26,0.999190938511327,0.943502824858757,1,0,1899,15000,"4","5e-04",4,6,"15000 4 5e-04 4","3","virus isolation"
"27",27,1,0.919020715630885,1,0,4003,15000,"4","5e-04",4,7,"15000 4 5e-04 4","3","virus isolation"
"28",28,1,0.883522727272727,0.994318181818182,0,4086,15000,"4","5e-04",4,8,"15000 4 5e-04 4","3","virus isolation"
"29",29,1,0.893476465730801,1,0,2180,15000,"4","5e-04",4,9,"15000 4 5e-04 4","3","virus isolation"
"30",30,0.999460625674218,0.864406779661017,0.994350282485876,0,2830,15000,"4","5e-04",4,10,"15000 4 5e-04 4","3","virus isolation"
"31",31,0.998619737750173,0.938285714285714,1,0,1009,5000,"2","0.001",4,1,"5000 2 0.001 4","4","virus isolation"
"32",32,0.998921251348436,0.91713747645951,1,0,1464,5000,"2","0.001",4,2,"5000 2 0.001 4","4","virus isolation"
"33",33,0.999460625674218,0.909604519774011,1,0,1675,5000,"2","0.001",4,3,"5000 2 0.001 4","4","virus isolation"
"34",34,0.999654934437543,0.953142857142857,1,0,867,5000,"2","0.001",4,4,"5000 2 0.001 4","4","virus isolation"
"35",35,0.996494066882416,0.919020715630885,0.994350282485876,0.333333333333333,1551,5000,"2","0.001",4,5,"5000 2 0.001 4","4","virus isolation"
"36",36,0.996494066882416,0.949152542372881,1,0,1081,5000,"2","0.001",4,6,"5000 2 0.001 4","4","virus isolation"
"37",37,0.999730312837109,0.922787193973635,1,0,2560,5000,"2","0.001",4,7,"5000 2 0.001 4","4","virus isolation"
"38",38,0.999394673123487,0.882102272727273,0.994318181818182,0,2156,5000,"2","0.001",4,8,"5000 2 0.001 4","4","virus isolation"
"39",39,1,0.897605284888522,1,0,1182,5000,"2","0.001",4,9,"5000 2 0.001 4","4","virus isolation"
"40",40,0.998921251348436,0.894538606403013,0.994350282485876,0,1571,5000,"2","0.001",4,10,"5000 2 0.001 4","4","virus isolation"
"41",41,0.996204278812974,0.932571428571428,1,0,73,5000,"2","0.01",4,1,"5000 2 0.01 4","5","virus isolation"
"42",42,0.999190938511327,0.915254237288136,1,0,129,5000,"2","0.01",4,2,"5000 2 0.01 4","5","virus isolation"
"43",43,0.998651564185545,0.924670433145009,1,0,193,5000,"2","0.01",4,3,"5000 2 0.01 4","5","virus isolation"
"44",44,0.998964803312629,0.949714285714286,1,0,108,5000,"2","0.01",4,4,"5000 2 0.01 4","5","virus isolation"
"45",45,0.997033441208198,0.915254237288136,0.994350282485876,0.333333333333333,183,5000,"2","0.01",4,5,"5000 2 0.01 4","5","virus isolation"
"46",46,0.996224379719525,0.924670433145009,1,0,135,5000,"2","0.01",4,6,"5000 2 0.01 4","5","virus isolation"
"47",47,0.997842502696872,0.915254237288136,1,0,204,5000,"2","0.01",4,7,"5000 2 0.01 4","5","virus isolation"
"48",48,0.999394673123487,0.897727272727273,0.994318181818182,0,166,5000,"2","0.01",4,8,"5000 2 0.01 4","5","virus isolation"
"49",49,0.999519230769231,0.880264244426094,0.994219653179191,0,141,5000,"2","0.01",4,9,"5000 2 0.01 4","5","virus isolation"
"50",50,0.997033441208198,0.896421845574388,0.994350282485876,0,150,5000,"2","0.01",4,10,"5000 2 0.01 4","5","virus isolation"
"51",51,1,0.921142857142857,1,0,742,5000,"3","0.001",4,1,"5000 3 0.001 4","6","virus isolation"
"52",52,0.999190938511327,0.924670433145009,1,0,1150,5000,"3","0.001",4,2,"5000 3 0.001 4","6","virus isolation"
